time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-14 00:00:00+00:00,29,13,10,4
2026-07-15 00:00:00+00:00,2,2,5,1
2026-07-16 00:00:00+00:00,0,0,0,0
2026-07-17 00:00:00+00:00,23,7,9,2
2026-07-18 00:00:00+00:00,10,4,4,3
2026-07-19 00:00:00+00:00,4,4,5,4
2026-07-20 00:00:00+00:00,73,20,13,5
2026-07-21 00:00:00+00:00,3,3,109,57
2026-07-22 00:00:00+00:00,59,19,9,4
2026-07-23 00:00:00+00:00,5,5,6,5
2026-07-24 00:00:00+00:00,2,2,1,1
2026-07-25 00:00:00+00:00,52,19,1,1
2026-07-26 00:00:00+00:00,17,4,38,6
2026-07-27 00:00:00+00:00,81,28,21,5
2026-07-28 00:00:00+00:00,98,32,141,12
2026-07-29 00:00:00+00:00,131,25,102,9
